Designator,Mid X,Mid Y,Layer,Rotation
C76,-103.6574mm,-86.8468mm,T,270
C69,-103.6574mm,-73.0340mm,T,90
C68,-103.6574mm,-82.3290mm,T,270
R283,-103.8098mm,-53.4020mm,T,90
R272,-103.8098mm,-2.8194mm,T,90
R271,-103.8098mm,-16.5354mm,T,90
R284,-103.8352mm,-39.7510mm,T,90
U30,-104.4448mm,-46.8376mm,T,270
U29,-104.4448mm,-9.9060mm,T,270
R285,-105.0798mm,-53.4020mm,B,90
R273,-105.0798mm,-16.5354mm,B,90
R286,-106.3498mm,-53.4020mm,T,90
R275,-106.3498mm,-2.8194mm,T,90
R274,-106.3498mm,-16.5354mm,T,90
R287,-106.3752mm,-39.7510mm,T,90
R288,-107.6198mm,-53.4020mm,B,90
R276,-107.6198mm,-16.5354mm,B,90
R81,-107.7722mm,-97.5614mm,T,360
C84,-107.7722mm,-97.5614mm,B,180
R89,-108.2294mm,-100.4570mm,T,90
R289,-108.8898mm,-53.4020mm,T,90
R278,-108.8898mm,-2.8194mm,T,90
R277,-108.8898mm,-16.5354mm,T,90
R290,-108.9152mm,-39.7510mm,T,90
R88,-109.1184mm,-103.0224mm,T,180
P33,-109.2880mm,18.8324mm,T,180
L16,-109.7888mm,-108.3129mm,T,90
R87,-109.9820mm,-100.4570mm,T,90
R80,-110.8202mm,-97.5614mm,T,180
C83,-110.8202mm,-97.5614mm,B,360
R79,-113.7158mm,-97.5614mm,T,360
C82,-113.7158mm,-97.5614mm,B,180
R86,-114.2238mm,-100.4570mm,T,90
JP2,-114.8760mm,-121.6516mm,T,360
R85,-115.1128mm,-103.0224mm,T,180
U9,-115.5700mm,-90.6272mm,T,90
U8,-115.5700mm,-77.7685mm,T,90
L15,-115.8246mm,-108.3129mm,T,90
R84,-115.9510mm,-100.4570mm,T,90
R55,-116.6114mm,-19.1770mm,T,90
R50,-116.6114mm,-22.4790mm,T,90
R46,-116.6114mm,-26.1620mm,T,90
R41,-116.6114mm,-29.3370mm,T,90
R34,-116.6622mm,-40.5130mm,T,90
R29,-116.6622mm,-43.8150mm,T,90
